first_name,last_name,email,gender,phone,dob,username,registration_number,center_name,city,centerId,image,signatureUrl,date_of_examination,description,date_of_exam,reporting_time,gate_closing_time,paper_1,break,paper_2,paper_medium,course_name,venue_of_center
Ravi,Singh,ravi.singh0@example.com,Male,9204110771,21-06-1996,EXAM2025000,72087MICR000,Mumbai Center,Chennai,001-Che,logo.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Mumbai Center, Some Address, Chennai-600124"
Sonal,Kandpal,sonal.kandpal1@example.com,Male,9534851605,03-08-1987,EXAM2025001,57189MICR001,Delhi Center,Mumbai,002-Mum,logo.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Delhi Center, Some Address, Mumbai-600124"
Priya,Sharma,priya.sharma2@example.com,Female,9663726228,15-03-1995,EXAM2025002,83172MICR002,Mumbai Center,Bangalore,003-Ban,logo.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Mumbai Center, Some Address, Bangalore-600124"
Amit,Kandpal,amit.kandpal3@example.com,Female,9397214599,12-05-1984,EXAM2025003,46772MICR003,Mumbai Center,Bangalore,004-Ban,logo.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Mumbai Center, Some Address, Bangalore-600124"
Priya,Sharma,priya.sharma4@example.com,Male,9868892413,15-02-2000,EXAM2025004,37269MICR004,Delhi Center,Mumbai,005-Mum,logo.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Delhi Center, Some Address, Mumbai-600124"
Amit,Kandpal,amit.kandpal5@example.com,Male,9378421982,09-07-1994,EXAM2025005,14737MICR005,Delhi Center,Delhi,006-Del,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Delhi Center, Some Address, Delhi-600124"
Deepanshu,Sharma,deepanshu.sharma6@example.com,Female,9950853452,10-04-1997,EXAM2025006,60639MICR006,Delhi Center,Chennai,007-Che,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Delhi Center, Some Address, Chennai-600124"
Ravi,Patel,ravi.patel7@example.com,Female,9808254461,02-01-1996,EXAM2025007,37350MICR007,Mumbai Center,Chennai,008-Che,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Mumbai Center, Some Address, Chennai-600124"
Priya,Verma,priya.verma8@example.com,Male,9456988988,15-09-1984,EXAM2025008,71287MICR008,Rajalakshmi Institute of Technology,Hyderabad,009-Hyd,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Rajalakshmi Institute of Technology, Some Address, Hyderabad-600124"
Deepanshu,Patel,deepanshu.patel9@example.com,Male,9937028215,13-02-1999,EXAM2025009,47071MICR009,Mumbai Center,Chennai,010-Che,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Mumbai Center, Some Address, Chennai-600124"
Priya,Patel,priya.patel10@example.com,Male,9918257180,12-04-1986,EXAM2025010,74387MICR010,Delhi Center,Mumbai,011-Mum,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Delhi Center, Some Address, Mumbai-600124"
Amit,Sharma,amit.sharma11@example.com,Male,9701945912,23-09-1986,EXAM2025011,17972MICR011,Mumbai Center,Hyderabad,012-Hyd,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),Hindi,MICR Step 3A EXAM,"Mumbai Center, Some Address, Hyderabad-600124"
Priya,Verma,priya.verma12@example.com,Female,9609641916,09-12-1983,EXAM2025012,53646MICR012,Bangalore Center,Mumbai,013-Mum,mock_user_image.jpg,candicate_signature.jpeg,12-12-2025,MICR Step 3A EXAM,12-12-2025,8:30 AM,9:30 AM,Paper 1 - Essential Radiology (9:45 AM to 10:45 AM),Tea Break (10:45 AM to 11:00 AM),Paper 2 - Long cases Reporting (11:00 AM to 12:50 PM),English,MICR Step 3A EXAM,"Bangalore Center, Some Address, Mumbai-600124"
